backbone,method,split_index,setting,analysis_unit,attribute,metric,gap_max_minus_min,eligible_groups,patient_outcome_aggregation,patient_score_aggregation
vits16,baseline,1,external_full,patient,age_group,brier,0.01681906343013001,3,max_image_outcome,max_calibrated_image_probability
vits16,baseline,1,external_full,patient,age_group,ece,0.0392174809806546,3,max_image_outcome,max_calibrated_image_probability
vits16,baseline,1,external_full,patient,age_group,sensitivity,0.07239819004524883,3,max_image_outcome,max_calibrated_image_probability
vits16,baseline,1,external_full,patient,age_group,fpr,0.22024466374499485,3,max_image_outcome,max_calibrated_image_probability
vits16,baseline,1,external_full,patient,age_group,fnr,0.07239819004524883,3,max_image_outcome,max_calibrated_image_probability
vits16,baseline,1,external_full,patient,age_group,ppv,0.2453711867395521,3,max_image_outcome,max_calibrated_image_probability
vits16,baseline,1,external_full,patient,sex_age,auroc,0.23532355885297063,6,max_image_outcome,max_calibrated_image_probability
vits16,baseline,1,external_full,patient,sex_age,auprc,0.5362714813763927,6,max_image_outcome,max_calibrated_image_probability
vits16,baseline,1,external_full,patient,sex_age,brier,0.06446661475025807,6,max_image_outcome,max_calibrated_image_probability
vits16,baseline,1,external_full,patient,sex_age,ece,0.0606045700590475,6,max_image_outcome,max_calibrated_image_probability
