backbone,direction,source,target,attribute,split_index,scheme,confidence_fraction,round,auroc,source_auroc,target_local_auroc,best_C,n_target_unlabelled,n_target_labelled,coordinate_space
vits16,brset_to_mbrset,brset,mbrset,age65,1,self_training,1.0,2,0.6579508489368455,0.6510358814662012,0.875133886067915,0.1,1287,1284,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,age65,1,self_training,1.0,3,0.65816159552523,0.6510358814662012,0.875133886067915,0.1,1287,1284,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,age65,1,self_training,1.0,4,0.6568822397651539,0.6510358814662012,0.875133886067915,0.1,1287,1284,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,age65,1,self_training,1.0,5,0.6545764241510632,0.6510358814662012,0.875133886067915,0.1,1287,1284,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,age65,1,self_training,1.0,6,0.655208663916217,0.6510358814662012,0.875133886067915,0.1,1287,1284,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,age65,1,self_training,1.0,7,0.6535598817835607,0.6510358814662012,0.875133886067915,0.1,1287,1284,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,age65,1,self_training,1.0,8,0.6535598817835607,0.6510358814662012,0.875133886067915,0.1,1287,1284,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,age65,1,self_training,1.0,9,0.6535598817835607,0.6510358814662012,0.875133886067915,0.1,1287,1284,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,age65,1,self_training,1.0,10,0.6535598817835607,0.6510358814662012,0.875133886067915,0.1,1287,1284,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,age65,1,confident_self_training,0.5,0,0.6510358814662012,0.6510358814662012,0.875133886067915,0.1,1287,1284,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,age65,1,confident_self_training,0.5,1,0.6486903959060616,0.6510358814662012,0.875133886067915,0.1,1287,1284,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,age65,1,confident_self_training,0.5,2,0.6293959258965407,0.6510358814662012,0.875133886067915,0.1,1287,1284,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,age65,1,confident_self_training,0.5,3,0.6249950412567439,0.6510358814662012,0.875133886067915,0.1,1287,1284,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,age65,1,confident_self_training,0.5,4,0.6206263884481117,0.6510358814662012,0.875133886067915,0.1,1287,1284,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,age65,1,confident_self_training,0.5,5,0.6183280109489051,0.6510358814662012,0.875133886067915,0.1,1287,1284,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,age65,1,confident_self_training,0.5,6,0.6193743057759441,0.6510358814662012,0.875133886067915,0.1,1287,1284,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,age65,1,confident_self_training,0.5,7,0.6251016542367503,0.6510358814662012,0.875133886067915,0.1,1287,1284,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,age65,1,confident_self_training,0.5,8,0.6287314543002221,0.6510358814662012,0.875133886067915,0.1,1287,1284,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,age65,1,confident_self_training,0.5,9,0.6336455688670264,0.6510358814662012,0.875133886067915,0.1,1287,1284,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,age65,1,confident_self_training,0.5,10,0.6345654157410346,0.6510358814662012,0.875133886067915,0.1,1287,1284,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,sex,1,self_training,1.0,0,0.5629569151451137,0.5629569151451137,0.7629118858264647,0.1,8524,8505,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,sex,1,self_training,1.0,1,0.5627098898339458,0.5629569151451137,0.7629118858264647,0.1,8524,8505,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,sex,1,self_training,1.0,2,0.5625622814170221,0.5629569151451137,0.7629118858264647,0.1,8524,8505,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,sex,1,self_training,1.0,3,0.5627364943549407,0.5629569151451137,0.7629118858264647,0.1,8524,8505,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,sex,1,self_training,1.0,4,0.5624459449809172,0.5629569151451137,0.7629118858264647,0.1,8524,8505,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,sex,1,self_training,1.0,5,0.5611287294754289,0.5629569151451137,0.7629118858264647,0.1,8524,8505,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,sex,1,self_training,1.0,6,0.5601905700508707,0.5629569151451137,0.7629118858264647,0.1,8524,8505,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,sex,1,self_training,1.0,7,0.559449494117367,0.5629569151451137,0.7629118858264647,0.1,8524,8505,source-training-image-standardised-patient-mean-coordinates
