backbone,direction,source,target,split_index,attribute,best_C,source_train_n,source_train_positive,source_validation_n,size_capped,evaluation,method,auroc,n,n_negative,n_positive,coordinate_space
vits16,mbrset_to_brset,mbrset,brset,3,age65,0.01,770,320,256,False,target_local_cv,target_local,0.9125793625361278,5649,3313,2336,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,3,age65,0.01,770,320,256,False,target_external,unaligned,0.6939416485079533,5649,3313,2336,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,3,age65,0.01,770,320,256,False,target_external,mean_variance,0.6980614712072408,5649,3313,2336,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,3,age65,0.01,770,320,256,False,target_external,coral,0.6278522445823633,5649,3313,2336,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,3,age65,0.01,770,317,256,True,source_internal,unaligned,0.8827227011494253,1176,696,480,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,3,age65,0.01,770,317,256,True,target_local_cv,target_local,0.8691883529038401,1284,736,548,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,3,age65,0.01,770,317,256,True,target_external,unaligned,0.5881019914312916,1284,736,548,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,3,age65,0.01,770,317,256,True,target_external,mean_variance,0.5905540899714377,1284,736,548,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,3,age65,0.01,770,317,256,True,target_external,coral,0.5737563471913678,1284,736,548,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,4,sex,0.1,5102,1965,1702,False,source_internal,unaligned,0.7677323422248474,1701,1049,652,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,4,sex,0.1,5102,1965,1702,False,target_local_cv,target_local,0.7430832770782061,1287,838,449,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,4,sex,0.1,5102,1965,1702,False,target_external,unaligned,0.648202582243224,1287,838,449,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,4,sex,0.1,5102,1965,1702,False,target_external,mean_variance,0.6446943884846197,1287,838,449,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,4,sex,0.1,5102,1965,1702,False,target_external,coral,0.618925110694144,1287,838,449,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,4,sex,0.1,772,280,257,False,source_internal,unaligned,0.7096041308089501,258,175,83,source-training-image-standardised-patient-mean-coordinates
